Cemetery	בית עלמין
\x07Did I mention that I'm Guybrush the LeChuck-busting stud?\xFF\x09\x1B\x00	האם אמרתי כבר שאני הוא ברנשצבע, החתיך מכסח-הלה-צ'אקים?
\x07Did I mention that I'm Guybrush the ghost-busting stud?\xFF\x09\x1B\x00	האם אמרתי כבר שאני הוא ברנשצבע, החתיך מכסח-רוחות-הרפאים?
\x07My name's Guybrush.  Who are you?	שמי ברנשצבע. מי אתה?
\x07Hi.  I'm Guybrush Threepwood, LeChuck-busting stud.\xFF\x09\x1B\x00	אני ברנשצבע כפיסדבק, החתיך מכסח-הלה-צ'אקים.
\x07Hi.  I'm Guybrush Threepwood, ghost-busting stud.\xFF\x09\x1B\x00	אני ברנשצבע כפיסדבק, החתיך מכסח-רוחות-הרפאים.
\x07Hi.  I'm Guybrush.  Who are you?	שמי ברנשצבע. מי אתה?
\x07Excuse me, do you know anything about Big Whoop?	סליחה, ידוע לך דבר מה על א גרוייסע מציאה?
\x07Nice place you have here.  Well, goodbye.	מקום נעים מאד יש לך. טוב, להתראות
Uh-huh.	אה-הא.
So I've heard.	כך שמעתי.
Wally	וולי
Wally.	וולי.
Wally B. Feed.	וולי ב. פיד.
At your service.	לשירותך.
Uh-oh.  Who sent you here?	אוי לא. מי שלח אותך הנה?
I should warn you:  I'm heavily armed.	עלי להזהיר אותך: אני חמוש ביותר.
	
\x07Nobody sent me.  I'm free-lance.\xFF\x09\x06\x00	\x07אף אחד לא שלח אותי. אני פרילנסר.\xFF\x09\x06\x00
\x07I was sent by the I.R.S.  Let me see your files.\xFF\x09\x07\x00	\x07נשלחתי על ידי רשויות המס. תראה לי את המסמכים שלך. \xFF\x09\x07\x00
\x07Don't shoot!  I was just asking.\xFF\x09\x06\x00	\x07אל תירה! רק שאלתי.\xFF\x09\x06\x00
\x07Well, well.  Aren't we jumpy?\xFF\x09\x18\x00	\x07נו, נו, האין אנחנו לחוצים?\xFF\x09\x18\x00
The who?	מי?
You'd better not try for my files.	מקווה שאתה לא זומם על המסמכים שלי.
All my research on Big Whoop is in there.	כל המחקר שלי על א גרוייסע מציאה נמצא שם.
Well, that's a dangerous question.	ובכן, זו שאלה מסוכנת.
I've been researching Big Whoop for years.	אני חוקר את א גרוייסע מציאה שנים רבות.
There are a lot of people who'd like to get their hands on my files.	יש הרבה אנשים שהיו רוצים לשים את ידיהם על המסמכים שלי.
You would be too if you were me.	גם אתה היית אם היית במקומי.
	
\x07Are you looking for Big Whoop, too?\xFF\x09\x17\x00	\x07גם אתה מחפש את א גרוייסע מציאה?\xFF\x09\x17\x00
\x07Can I see your files?	\x07אפשר לראות את המסמכים שלך?
\x07Where do you think it's buried?	\x07איפה אתה חושב שזה קבור?
\x07I'm looking for Big Whoop myself.  Wanna help?\xFF\x09\x1B\x00	\x07אני בעצמי מחפש את אגרוייסע מציאה. רוצה לעזור?\xFF\x09\x1B\x00
Well^	ובכן^
I haven't really been able to find out much hard information^	לא כל כך הצלחתי למצוא מידע מוצק^
What do YOU know about it?	מה *אתה* יודע על זה?
Actually, there's not anything in them.	בעצם, אין בהם שום דבר.
I don't know if I'd be much help.	אני לא יודע אם אוכל לעזור כל כך.
	
\x07I know I'm looking for it, and that's about it.	\x07אני יודע שאני מחפש את זה, וזה בערך הכל.
\x07I know it contains unimaginable wealth.	\x07אני יודע שזה מכיל עושר שלא ישוער.
\x07I know it's location is a mystery.	\x07אני יודע שהמיקום שלו מסתורי.
\x07Um^ I really don't know much about it at all.	\x07אה^ אני בעצם לא יודע על זה כלום בכלל.
You mean, you never heard of the four men who buried it?	אתה מתכוון שמעולם לא שמעת על הארבעה שקברו את זה?
	
\x07No.  Tell me all about it.	\x07לא. ספר לי על זה.
\x07No, but I really don't care.	\x07לא, אבל ממש לא אכפת לי.
\x07Oh, them?  Yeah, I know about them.  Of course.	\x07אה, הם? אני מכיר אותם. כמובן.
Well, all anyone knows for sure is that there was a shipwreck.	ובכן, כל מה שידוע בוודאות הוא שהיתה ספינה טרופה.
The merchant vessel Elaine went down in a terrible storm.	ספינת הסוחר אילנה נטרפה בסופה נוראה.
Elaine?	אילנה?
Only four crew members survived.	רק ארבעה חברי צוות שרדו.
They washed up on a remote, deserted island.	הם נסחפו לחוף מבודד ומרוחק.
Some say it's name was `Inky Island,`	יש אומרים ששמו הוא 'אי הלוב,'
but I don't believe that.	אבל אני לא מאמין לזה.
\x07Why don't you believe it?	\x07למה אתה לא מאמין לזה?
\x07Go on.  Finish the story.	\x07קדימה. סיים את הסיפור.
\x07But what IS Big Whoop?	\x07אבל *מה הוא* א גרוייסע מציאה?
Because there's no such island.	משום שאין אי כזה.
Anyway, that's where they supposedly found Big Whoop.	בכל מקרה, זה המקום שבו הם מצאו לכאורה את א גרוייסע מציאה
But what IS Big Whoop?	אבל *מה הוא* א גרוייסע מציאה?
Whatever it was, it was so wonderful^	מה שזה לא היה, זה היה כה נהדר^
^or so horrible^	^או כה נורא^
^that they never wanted anyone else to find it.	^שהם לא רצו שאף אדם אחר ימצא אותו.
So they took the map they made of the island^	אז הם לקחו את מפת האי שהם יצרו^
^and split it up among the four of them.	^וחילקו אותה בין ארבעתם.
And they all went their separate ways.	והלכו כל אחד לדרכו הנפרדת.
	
\x07Wow.  That's some story.\xFF\x09\x18\x00	\x07וואו. זה חתיכת סיפור.\xFF\x09\x18\x00
\x07Where are they now?	\x07איפה הם עכשיו?
\x07You don't actually believe that story, do you?	\x07אתה לא באמת מאמין לסיפור הזה, נכון?
\x07I love that story.  Well, bye!	\x07אני אוהב את הסיפור הזה. טוב, ביי!
Of course, it could just be an old legend.	כמובן, זו יכולה להיות רק אגדה ישנה.
But if I could just see the map of that island^	אבל אם רק יכולתי לראות את מפת האי הזה^
^I bet I could recognize the shape of the land and track it down myself.	^אני בטוח שיכולתי לזהות את צורת החוף ולאתר אותו בעצמי.
Well, I don't even know their names.	ובכן, אני לא יודע אפילו את שמותיהם.
You know, that reminds me^	אתה יודע, זה מזכיר לי^
I've got to get over to the Phatt City library and look that up^	עלי לסור לספריה בעיר שומן ולברר על כך^
^I'd go look them up at the Phatt City library^	^הייתי מברר לגביהם בספריית העיר שומן
^if it weren't for this stupid Largo Embargo!	^לולא העוצר תמיר המטופש הזה!
	
Well, well.	ובכן, ובכן.
Guess you don't need me, then.	אני מניח שאתה לא צריך אותי, אם כן.
	
\x07Hey!  I did it!  Largo LaGrande left Scabb!\xFF\x09\x1B\x00	\x07הי! הצלחתי! תמיר גדליהו עזב את גלד!
\x07I have some more questions about Scabb Island.	\x07יש לי עוד כמה שאלות בנוגע לאי הגלד.
\x07I have some questions about Scabb Island.	\x07רציתי לשאול כמה שאלות על אי הגלד.
\x07Do you know anything about Big Whoop?	\x07 האם ידוע לך משהו על א גרוייסע מציאה?
\x07Could you tell me about the men who buried Big Whoop?	\x07תוכל לספר לי על האנשים שקברו את א גרוייסע מציאה?
\x07You know, I could just sit and talk about maps all day.	\x07אתה יודע, אני יכול לשבת ולדבר על מפות כל היום.
\x07What exactly do you do here?	\x07מה בדיוק אתה עושה כאן?
\x07You know anything about this Largo guy?	\x07אתה יודע משהו על התמיר הזה?
\x07How's business?	\x07איך העסקים?
\x07Is longitude the sideways one, or is that latitude?\xFF\x09\x19\x00	\x07קו אורך הוא זה שהולך הצידה, או שזה קו רוחב?\xFF\x09\x19\x00
\x07Thanks.  I gotta go.\xFF\x09\x1A\x00	\x07תודה. אני חייב ללכת.\xFF\x09\x1A\x00
Would you mind if I just looked around?\xFF\x09\x1A\x00	אכפת לך אם אני אסתכל קצת מסביב?\xFF\x09\x1A\x00
No, no.  Be my guest.	לא, לא. תתכבד.
If you see my monocle, let me know.	תודיע לי אם תראה את המשקף שלי.
That's great.	זה מעולה.
I guess I can stop with the bricks through his window now.	אני מניח שאני יכול להפסיק לזרוק לבנים דרך החלון שלו.
Hey!  Me too.	היי! גם אני.
Who couldn't?	מי לא יכול?
What else is there to talk about?	על מה עוד יש לדבר?
Well, hey.  That's my job.	ובכן, הי. זאת העבודה שלי.
Seems almost like we have.	נדמה כמעט כאילו עשינו זאת.
Yep.	אכן.
I can never remember which is which.	אני אף פעם לא מצליח לזכור מי זה מי.
It's so cute when you laypeople try to understand geography.	זה כזה חמוד שאנשים פשוטים כמוכם מנסים להבין גיאוגרפיה.
I could try to explain it, but it would probably just go over your head.	אני יכול להסביר את זה, אבל זה כנראה יעבור לך מעל הראש.
I'm a cartographer.	אני קרטוגרף.
You do open-heart surgery?\xFF\x09\x07\x00	אתה עושה ניתוח לב פתוח?\xFF\x09\x07\x00
In here?	כאן?
Uh^ no.	אה^ לא.
I'm the mapmaking sort of cartographer.	אני קרטוגרף מהסוג שמכין מפות.
Oh.	אה.
	
\x07What kinds of maps do you make?	\x07איזה סוג מפות אתה מכין?
\x07Is that all you do?  Make maps?	\x07זה כל מה שאתה עושה? מכין מפות?
\x07Ha!  Only sissies use maps.	\x07הא! רק רכרוכיים משתמשים במפות.
\x07Maps.  Huh.  That's interesting.  Well, see ya.	\x07מפות. הא. זה מעניין. טוב, נתראה.
^but unfortunately I don't have all day.	^אבל לצערי אין לי את כל היום.
Well, I do some restoration work too.	ובכן, אני עושה גם עבודות שחזור.
I paste them together, re-copy them^	^אני מדביק אותם ביחד, מעתיק אותם מחדש
^paint little cupids in the corners^	^אני מצייר קופידונים קטנים בפינות^
^you know.  Artsy-fartsy stuff.	^אתה יודע. דברים מפונפנים כאלה.
Every kind a pirate could need!	כל סוג ששודד ים צריך!
My eyes have seen the whole world, and there's not a part of it I haven't put down on paper.	עיני ראו את העולם כולו, ואין אף שעל בו שלא שירטטתי.
Maps are very, very important.	מפות הן מאוד, מאוד חשובות.
	
\x07Not to me.  I don't travel.	\x07לא בשבילי. אני לא מטייל.
\x07Actually, I prefer to just stop and ask directions.	\x07האמת שאני מעדיף לעצור ולקבל הכוונה.
\x07You know anything about this Largo guy?\xFF\x09\x18\x00	\x07ידוע לך משהו על התמיר הזה?\xFF\x09\x18\x00
\x07How's business?	\x07איך העסקים?
\x07I'm sure they are.  Well, good-bye.	\x07אני בטוח בכך. טוב, להתראות.
So you've told me.	כפי שכבר אמרת לי.
That's even better!	זה אפילו יותר טוב!
With good maps, you can see the whole world without leaving your living room.	עם מפות טובות, אתה יכול לראות את כל העולם מבלי לעזוב את הסלון שלך.
That's what Magellan thought.	זה מה שחשב מגלן.
Ha ha ha!	חה חה חה!
Sorry.  Cartographer joke.	סליחה. בדיחה של מפאים.
Why?  Thinking about moving here?	למה? חושב לעבור לגור כאן?
Shoot.	שדר.
	
\x07Actually, I'm trying to get off it as soon as possible.	\x07למעשה, אני מנסה לצאת ממנו בהקדם האפשרי.
\x07How can I get off this island as soon as possible?	\x07איך אני יוצא מהאי הזה בהקדם האפשרי?
\x07You know anything about this Largo guy?\xFF\x09\x17\x00	\x07אתה יודע משהו על התמיר הזה?\xFF\x09\x17\x00
\x07How's business?	\x07איך העסקים?
\x07Where's the Governor's Mansion?	\x07איפה האחוזה של המושל?
\x07I'm looking for some room and board.	\x07אני מחפש אש"ל.
\x07Actually, I'd better not ask too many questions.	\x07בעצם, אני מעדיף לא לשאול יותר מדי שאלות.
\x07Thanks.  That's all I need to know.	\x07תודה.  זה כל מה שאני צריך לדעת.
Thanks for the lowdown.	תודה על המידע.
Anytime.	בכל עת.
Maybe you should talk to Captain Dread.	אולי כדאי שתדבר עם קפטן טלטלה.
Good luck!	בהצלחה!
With the sailing embargo Largo's imposed on Scabb, it's hard to get anywhere.	עם עוצר השיט שתמיר החיל על גלד, קשה להגיע לאנשהו.
Which doesn't help my business, let me tell you.	שזה לא עוזר לעסקים שלי, אני אומר לך.
Terrible!	נורא!
No one needs any maps since no one can go anywhere thanks to Largo.	אף אחד לא צריך שום מפות, כי אף אחד לא יכול ללכת לשום מקום תודות לתמיר.
There is no Governor on Scabb!	אין מושל על גלד!
This is an anarchist cooperative of pirates, cutthroats, and other criminals.	זה תאגיד אנרכיסטי של שודדי ים, רוצחים, ופושעים אחרים.
A haven for roughnecks and rebels like me.	מקלט לפרחחים ומורדים כמוני.
The only authority on this island is that bully Largo.	הסמכות היחידה באי הזה הוא הבריון ההוא תמיר.
Well, I hear there's a new chef down at the Bloody Lip.	טוב, שמעתי שיש טבח חדש בשפה המדממת.
And the Swamp Rot Inn has all the comforts of the sea.	ובאכסניית רקב הביצה יש את כל הנוחויות של הים.
But I think Largo's booked the whole thing.	אבל נראה לי שתמיר שכר את כל המקום.
Okay.  But don't be shy if you think of a question.	בסדר. אבל אל תתבייש אם יש לך שאלה.
